Entry	Entry name	Status	Protein names	Gene names	Organism	Length
B1P1I4	TX32C_CHIGU	reviewed	U31-theraphotoxin-Cg1b (U31-TRTX-Cg1b) (Jingzhaotoxin-65) (JZTX-65)		Chilobrachys guangxiensis (Chinese earth tiger tarantula) (Chilobrachys jingzhao)	115
B6DCS5	TX330_LYCSI	reviewed	U3-lycotoxin-Ls1n (Toxin-like structure LSTX-B30)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCS6	TX331_LYCSI	reviewed	U3-lycotoxin-Ls1o (Toxin-like structure LSTX-B31)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCS9	TX334_LYCSI	reviewed	U3-lycotoxin-Ls1q (Toxin-like structure LSTX-B34)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCT0	TX335_LYCSI	reviewed	U3-lycotoxin-Ls1k (Toxin-like structure LSTX-B35)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
B6DCT2	TX337_LYCSI	reviewed	U3-lycotoxin-Ls1s (Toxin-like structure LSTX-B37)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	115
Q75WG7	TX33A_MACGS	reviewed	U13-hexatoxin-Mg1a (U13-HXTX-Mg1a) (Neurotoxin magi-12)		Macrothele gigas (Japanese funnel web spider)	124
W4VRX0	TX33A_TRILK	reviewed	Toxin ICK-22		Trittame loki (Brush-footed trapdoor spider)	121
W4VSI5	TX33B_TRILK	reviewed	Toxin ICK-23		Trittame loki (Brush-footed trapdoor spider)	121
W4VSB0	TX33C_TRILK	reviewed	Toxin ICK-24		Trittame loki (Brush-footed trapdoor spider)	120
P61229	TX35A_PHONI	reviewed	U1-ctenitoxin-Pn1a (U1-CNTX-Pn1a) (Toxin Pn4B)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	85
P0DPG7	TX35A_PHORI	reviewed	Beta/delta-ctenitoxin-Pr1a (Beta/delta-CNTX-Pr1a) (Beta/delta-PrIT1) (Fragment)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	40
P85262	TX35B_CTEON	reviewed	U9-ctenitoxin-Co1a (U9-CNTX-Co1a) (Neurotoxin Oc FU-18) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	44
P85264	TX35C_CTEON	reviewed	U15-ctenitoxin-Co1a (U15-CNTX-Co1a) (Neurotoxin Oc M33-7) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	28
P59367	TX35C_PHONI	reviewed	GAMMA-ctenitoxin-Pn1a (GAMMA-CNTX-Pn1a) (Insecticidal neurotoxin Tx4(5-5)) (PnTx4(5-5)) (PnTx4-5-5) (Toxin Pn4A)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	81
P85276	TX36B_CTEON	reviewed	U5-ctenitoxin-Co1a (U5-CNTX-Co1a) (Neurotoxin Oc F32-8) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	35
O76199	TX36B_PHONI	reviewed	Delta-ctenitoxin-Pn2c (Delta-CNTX-Pn2c) (Neurotoxin Pn2-5A) (Neurotoxin Tx2-5) (PnTx2-5)		Phoneutria nigriventer (Brazilian armed spider) (Ctenus nigriventer)	82
P85275	TX36C_CTEON	reviewed	U8-ctenitoxin-Co1a (U8-CNTX-Co1a) (Neurotoxin Oc F40-6) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	31
P85277	TX36D_CTEON	reviewed	U11-ctenitoxin-Co1b (U11-CNTX-Co1b) (Neurotoxin Oc M9-7) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	25
P0CF03	TX37_DINAS	reviewed	Dinoponeratoxin Da-1837		Dinoponera australis (Giant neotropical hunting ant)	18
P0CF04	TX39_DINAS	reviewed	Dinoponeratoxin Da-1039		Dinoponera australis (Giant neotropical hunting ant)	9
W5U5X5	TX3A_CHEPU	reviewed	DELTA-miturgitoxin-Cp3a (DELTA-MGTX-Cp3a) (Toxin CpTx-3a) (Toxin CpTx1-3a)		Cheiracanthium punctorium (Yellow sac spider) (Aranea punctoria)	178
C0HKD0	TX3A_HETMC	reviewed	Pi-theraphotoxin-Hm3a (Pi-TRTX-Hm3a)		Heteroscodra maculata (Togo starburst tarantula) (Togo starburst baboon spider)	37
P84510	TX3_PARSR	reviewed	Beta-theraphotoxin-Ps1a (Beta-TRTX-Ps1a) (Phrixotoxin-3) (PaurTx3)		Paraphysa scrofa (Chilean copper tarantula) (Phrixotrichus auratus)	34
B6DCT3	TX401_LYCSI	reviewed	U4-lycotoxin-Ls1a (U4-LCTX-Ls1a) (Toxin-like structure LSTX-C1) (Toxin-like structure LSTX-C7)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109
B6DCT6	TX404_LYCSI	reviewed	U4-lycotoxin-Ls1a (U4-LCTX-Ls1a) (Toxin-like structure LSTX-C4)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109
B6DCT7	TX405_LYCSI	reviewed	U4-lycotoxin-Ls1d (U4-LCTX-Ls1d) (Toxin-like structure LSTX-C5)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	109
P0DM68	TX4_SELPU	reviewed	U4-theraphotoxin-Spl1a (U4-TRTX-Spl1a) (Orally active insecticidal peptide-4) (Toxin OAIP 4)		Selenotypus plumipes (Australian featherleg tarantula)	80
B6DCV0	TX501_LYCSI	reviewed	U5-lycotoxin-Ls1a (Toxin-like structure LSTX-E1)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	114
P61789	TX5A_HETVE	reviewed	Omega-sparatoxin-Hv1a (Omega-SPRTX-Hv1a) (Toxin AU5A)		Heteropoda venatoria (Brown huntsman spider) (Aranea venatoria)	37
P61790	TX5B_HETVE	reviewed	Omega-sparatoxin-Hv1b (Omega-SPRTX-Hv1b) (Toxin AU5B)		Heteropoda venatoria (Brown huntsman spider) (Aranea venatoria)	36
P0DM69	TX5_SELPU	reviewed	Toxin OAIP 5		Selenotypus plumipes (Australian featherleg tarantula)	78
B6DCV1	TX601_LYCSI	reviewed	U6-lycotoxin-Ls1a (Toxin-like structure LSTX-F1)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	75
B6DCV3	TX603_LYCSI	reviewed	U6-lycotoxin-Ls1d (Toxin-like structure LSTX-F3)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	75
B6DCV4	TX604_LYCSI	reviewed	U6-lycotoxin-Ls1d (Toxin-like structure LSTX-F4)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	75
B6DCY8	TX817_LYCSI	reviewed	U8-lycotoxin-Ls1h (Toxin-like structure LSTX-H17)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	77
B6DCY9	TX818_LYCSI	reviewed	U8-lycotoxin-Ls1i (Toxin-like structure LSTX-H18)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	77
B6DCZ0	TX819_LYCSI	reviewed	U8-lycotoxin-Ls1j (Toxin-like structure LSTX-H19)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	77
P85274	TX90A_CTEON	reviewed	U7-ctenitoxin-Co1a (U7-CNTX-Co1a) (Neurotoxin Oc F40-4) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	12
P83902	TX90A_PHOKE	reviewed	U8-ctenitoxin-Pk1a (U8-CNTX-Pk1a) (Probable neurotoxin PKTx23C3)		Phoneutria keyserlingi (Brazilian wandering spider) (Ctenus keyserlingii)	58
P84014	TX90A_PHORI	reviewed	Omega-ctenitoxin-Pr2a (Omega-CNTX-Pr2a) (Neurotoxin PRTx23C2)		Phoneutria reidyi (Brazilian Amazonian armed spider) (Ctenus reidyi)	55
P49125	TXA1_LATTR	reviewed	Alpha-latrotoxin-associated low molecular weight protein (Alpha-latrotoxin-associated LMWP) (Latrodectin-1) (Latrodectin)		Latrodectus tredecimguttatus (Mediterranean black widow spider) (Latrodectus mactans tredecimguttatus)	88
V9QFG7	TXA2_LATGE	reviewed	Alpha-latrotoxin associated low molecular weight protein 2 (Alpha-latrotoxin-associated LMWP2) (Latrodectin-2)		Latrodectus geometricus (Brown widow spider)	88
V9QEI7	TXA2_LATHE	reviewed	Alpha-latrotoxin associated low molecular weight protein 2 (Alpha-latrotoxin-associated LMWP2) (Latrodectin-2)		Latrodectus hesperus (Western black widow spider)	88
V9QFH8	TXA2_STEGR	reviewed	Alpha-latrotoxin associated low molecular weight protein 2 (Alpha-latrotoxin-associated LMWP2) (Latrodectin-2)		Steatoda grossa (False black widow)	97
B6DD02	TXA31_LYCSI	reviewed	U10-lycotoxin-Ls1a (Toxin-like structure LSTX-H31)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	77
Q4LCT2	TXA5_ANDAU	reviewed	Toxin-like peptide AaF1CA5		Androctonus australis (Sahara scorpion)	81
Q5Y4W0	TXAG6_AGEOR	reviewed	U6-agatoxin-Ao1a (U6-AGTX-Ao1a) (AgorTX_A4)		Agelena orientalis (Funnel-web spider)	74
B3EWY4	TXAP1_ACAPA	reviewed	U1-theraphotoxin-Ap1a (U1-TRTX-Ap1a)		Acanthoscurria paulensis (Brazilian giant black tarantula spider)	98
P0C2A1	TXA_ANDCR	reviewed	Toxin a (Fragment)		Androctonus crassicauda (Arabian fat-tailed scorpion)	28
B6DD10	TXB08_LYCSI	reviewed	U11-lycotoxin-Ls1d (Toxin-like structure LSTX-J8)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	77
P83620	TXC1B_CUPSA	reviewed	Cupiennin-1b (Cu-1b) (M-ctenitoxin-Cs1b) (M-CNTX-Cs1b)		Cupiennius salei (American wandering spider)	35
B3EWV2	TXC3B_CUPSA	reviewed	Cupiennin-3b (Cu-3b) (Short cationic peptide-3b) (SCP-3b)		Cupiennius salei (American wandering spider)	27
B3EWV3	TXC3C_CUPSA	reviewed	Cupiennin-3c (Cu-3c) (Short cationic peptide-3c) (SCP-3c)		Cupiennius salei (American wandering spider)	27
B6DD27	TXD09_LYCSI	reviewed	U13-lycotoxin-Ls1a (Toxin-like structure LSTX-L9)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	120
B6DD43	TXF10_LYCSI	reviewed	U15-lycotoxin-Ls1a (Toxin-like structure LSTX-N10)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	86
B6DD46	TXF13_LYCSI	reviewed	U15-lycotoxin-Ls1d (Toxin-like structure LSTX-N13)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	86
B6DD47	TXF14_LYCSI	reviewed	U15-lycotoxin-Ls1e (Toxin-like structure LSTX-N14)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	86
B6DD48	TXF15_LYCSI	reviewed	U15-lycotoxin-Ls1f (Toxin-like structure LSTX-N15)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	87
B6DD50	TXF17_LYCSI	reviewed	U15-lycotoxin-Ls1g (Toxin-like structure LSTX-N17)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	86
B6DD51	TXF18_LYCSI	reviewed	U15-lycotoxin-Ls1h (Toxin-like structure LSTX-N18)		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	87
P0C202	TXFK2_PSACA	reviewed	U2-theraphotoxin-Pc1a (U2-TRTX-Pc1a) (Psalmopeotoxin II) (Psalmopeotoxin-2) (Psalmopoeus cambridgei Falciparum killer 2) (PcFK2)		Psalmopoeus cambridgei (Trinidad chevron tarantula)	65
P56676	TXH1_CYRSC	reviewed	Mu/omega-theraphotoxin-Hs1a (Mu/omega-TRTX-Hs1a) (Huwentoxin-1) (HwTx-1) (Huwentoxin-I) (HwTx-I)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	81
P82959	TXH21_CYRSC	reviewed	U1-theraphotoxin-Hs1a (U1-TRTX-Hs1a) (Huwentoxin-2 form 1) (Huwentoxin-II) (HwTx-II)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	85
P82960	TXH22_CYRSC	reviewed	U1-theraphotoxin-Hs1b (U1-TRTX-Hs1b) (Huwentoxin-2 form 2) (Huwentoxin-II) (HwTx-II)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	37
Q86C49	TXH23_CYRSC	reviewed	U1-theraphotoxin-Hs1f (U1-TRTX-Hs1f) (Huwentoxin-2a) (Huwentoxin-IIa)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
P68420	TXH6_CYRSC	reviewed	U3-theraphotoxin-Hs1a (U3-TRTX-Hs1a) (Huwentoxin-6) (Huwentoxin-VI) (HwTx-VI)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	41
P68421	TXH7_CYRSC	reviewed	U1-theraphotoxin-Hs1a (U1-TRTX-Hs1a) (Huwentoxin-7) (Huwentoxin-VII) (HwTx-VII)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	84
P68422	TXH8_CYRSC	reviewed	U1-theraphotoxin-Hs1f (U1-TRTX-Hs1f) (Huwentoxin-8) (Huwentoxin-VIII) (HwTx-VIII)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	35
P60975	TXHA5_CYRHA	reviewed	Mu-theraphotoxin-Hhn1a (Mu-TRTX-Hhn1a) (Hainantoxin-5) (Hainantoxin-V) (HnTX-V)		Cyriopagopus hainanus (Chinese bird spider) (Haplopelma hainanum)	35
P85505	TXHM1_HERML	reviewed	Mu-thomitoxin-Hme1a (Mu-TMTX-Hme1a) (Neurotoxin Hm-1)		Heriaeus mellotteei (Crab spider) (Heriaeus oblongus)	37
P85506	TXHM2_HERML	reviewed	Mu-thomitoxin-Hme1b (Mu-TMTX-Hme1b) (Neurotoxin Hm-2)		Heriaeus mellotteei (Crab spider) (Heriaeus oblongus)	40
P55816	TXI11_DIGCA	reviewed	Mu-diguetoxin-Dc1b (Mu-DGTX-Dc1b) (Insecticidal toxin DTX11)		Diguetia canities (Desert bush spider) (Segestria canities)	58
P55817	TXI12_DIGCA	reviewed	Mu-diguetoxin-Dc1c (Mu-DGTX-Dc1c) (Insecticidal toxin DTX12)		Diguetia canities (Desert bush spider) (Segestria canities)	61
O46166	TXI1_ERAAG	reviewed	U1-agatoxin-Ta1a (U1-AGTX-Ta1a) (Insecticidal toxin 1) (TaITX-1)		Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	68
O46167	TXI2_ERAAG	reviewed	U1-agatoxin-Ta1b (U1-AGTX-Ta1b) (Insecticidal toxin 2) (TaITX-2)		Eratigena agrestis (Hobo spider) (Tegenaria agrestis)	68
P0CC18	TXL1_LASPA	reviewed	U1-theraphotoxin-Lp1a (U1-TRTX-Lp1a) (Lasiotoxin-1) (LpTX1)		Lasiodora parahybana (Brazilian salmon pink birdeater) (Brazilian salmon pink tarantula)	49
P0CC19	TXL1_LASSB	reviewed	U1-theraphotoxin-Lsp1a (U1-TRTX-Lsp1a) (LTx1)		Lasiodora sp. (strain IBSP 8539) (Brazilian salmon pink birdeater) (Brazilian salmon pink tarantula)	99
Q86C51	TXLA1_CYRSC	reviewed	U5-theraphotoxin-Hs1a 1 (U5-TRTX-Hs1a) (Huwenlectin-1) (Huwenlectin-I) (SHLP-I) (SHL-I)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
B3FIS2	TXLA3_CYRSC	reviewed	U5-theraphotoxin-Hs1a 3 (U5-TRTX-Hs1a) (Lectin SHL-Ia3)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
B3FIS3	TXLA4_CYRSC	reviewed	U5-theraphotoxin-Hs1a 4 (U5-TRTX-Hs1a) (Lectin SHL-Ia4)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
B3FIS6	TXLB1_CYRSC	reviewed	U5-theraphotoxin-Hs1b 1 (U5-TRTX-Hs1b) (Lectin SHL-Ib1)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
B3FIS0	TXLC_CYRSC	reviewed	U5-theraphotoxin-Hs1c (U5-TRTX-Hs1c) (Lectin SHL-1a1) (Lectin SHL-Ia1)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
B3FIS1	TXLD_CYRSC	reviewed	U5-theraphotoxin-Hs1d (U5-TRTX-Hs1d) (Lectin SHL-1a2) (Lectin SHL-Ia2)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	83
Q75WH2	TXM11_MACGS	reviewed	U12-hexatoxin-Mg1a (U12-HXTX-Mg1a) (Neurotoxin magi-11) (Peptide toxin 5)		Macrothele gigas (Japanese funnel web spider)	81
Q75WG6	TXM13_MACGS	reviewed	U14-hexatoxin-Mg1a (U14-HXTX-Mg1a) (Neurotoxin magi-13)		Macrothele gigas (Japanese funnel web spider)	75
Q75WG5	TXM14_MACGS	reviewed	Delta-hexatoxin-Mg1b (Delta-HXTX-Mg1b) (Delta-atracotoxin-9) (Neurotoxin magi-14)		Macrothele gigas (Japanese funnel web spider)	70
P0C2V1	TXM15_MACGS	reviewed	U15-hexatoxin-Mg1a (U15-HXTX-Mg1a) (Neurotoxin magi-15)		Macrothele gigas (Japanese funnel web spider)	65
P0C2V2	TXM16_MACGS	reviewed	U15-hexatoxin-Mg1b (U15-HXTX-Mg1b) (Neurotoxin magi-16)		Macrothele gigas (Japanese funnel web spider)	65
P0DMD2	TXM1A_SCOMU	reviewed	Mu-scoloptoxin-Ssm1a (Mu-SLPTX-Ssm1a)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	32
P85273	TXM20_CTEON	reviewed	U14-ctenitoxin-Co1a (U14-CNTX-Co1a) (Neurotoxin Oc M20-3) (Fragment)		Ctenus ornatus (Brazilian spider) (Oligoctenus ornatus)	31
P83557	TXMG1_MACGS	reviewed	Mu-hexatoxin-Mg1b (Mu-HXTX-Mg1b) (Neurotoxin magi-1)		Macrothele gigas (Japanese funnel web spider)	38
P83562	TXMG6_MACGS	reviewed	U7-hexatoxin-Mg1a (U7-HXTX-Mg1a) (Neurotoxin magi-6)		Macrothele gigas (Japanese funnel web spider)	82
Q75WH6	TXMG7_MACGS	reviewed	U8-hexatoxin-Mg1a (U8-HXTX-Mg1a) (Neurotoxin magi-7)		Macrothele gigas (Japanese funnel web spider)	77
Q75WH5	TXMG8_MACGS	reviewed	U9-hexatoxin-Mg1a (U9-HXTX-Mg1a) (Neurotoxin magi-8)		Macrothele gigas (Japanese funnel web spider)	81
Q75WH4	TXMG9_MACGS	reviewed	U10-hexatoxin-Mg1a (U10-HXTX-Mg1a) (Neurotoxin magi-9)		Macrothele gigas (Japanese funnel web spider)	80
P60272	TXMO_HADIN	reviewed	U2-hexatoxin-Hi1a (U2-HXTX-Hi1a) (Toxin AcTx-Hi:OB4219)		Hadronyche infensa (Fraser island funnel-web spider) (Atrax infensus)	83
I6RU37	TXO2B_SCOMU	reviewed	Omega-scoloptoxin-Ssm2b (Omega-SLPTX-Ssm2b)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	76
P36990	TXP10_PLETR	reviewed	U3-plectoxin-Pt1a (U3-PLTX-Pt1a) (Plectoxin X) (PLT-X) (PLTX) (Plectoxin-10)		Plectreurys tristis (Spider) (Plectreurys bispinosus)	49
P0DL80	TXP1A_BRASM	reviewed	Omega-theraphotoxin-Bs1a (Omega-TRTX-Bs1a) (BsTX1a) (Venom protein 1)		Brachypelma smithi (Mexican red knee tarantula) (Eurypelma smithi)	39
P0DL79	TXP1B_BRASM	reviewed	Omega-theraphotoxin-Bs1b (Omega-TRTX-Bs1b) (BsTX1b) (Venom protein 1)		Brachypelma smithi (Mexican red knee tarantula) (Eurypelma smithi)	39
P49267	TXP1_APOSC	reviewed	U1-cyrtautoxin-As1a (U1-CUTX-As1a) (Aptotoxin I) (Aptotoxin-1) (Paralytic peptide I) (PP I)		Apomastus schlingeri (Trap-door spider) (Aptostichus schlingeri)	74
P85497	TXP1_BRAAI	reviewed	Omega-theraphotoxin-Ba1a (Omega-TRTX-Ba1a) (Venom peptide 1)		Brachypelma albiceps (Mexican golden redrump tarantula) (Brachypelma ruhnaui)	39
P61230	TXP1_PARSR	reviewed	Kappa-theraphotoxin-Ps1a (Kappa-TRTX-Ps1a) (PaTX1) (Phrixotoxin-1)		Paraphysa scrofa (Chilean copper tarantula) (Phrixotrichus auratus)	29
I6S3A5	TXP1_SCOMU	reviewed	Putative neurotoxin 1 (Putative neurotoxin 3)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	77
P85504	TXP2_BRAAI	reviewed	Omega-theraphotoxin-Ba1b (Omega-TRTX-Ba1b) (Venom peptide 2)		Brachypelma albiceps (Mexican golden redrump tarantula) (Brachypelma ruhnaui)	39
P61231	TXP2_PARSR	reviewed	Kappa-theraphotoxin-Ps1b (Kappa-TRTX-Ps1b) (PaTX2) (Phrixotoxin-2)		Paraphysa scrofa (Chilean copper tarantula) (Phrixotrichus auratus)	31
I6R1S1	TXP2_SCOMU	reviewed	Putative neurotoxin 2		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	77
P49266	TXP5_BRASM	reviewed	U2-theraphotoxin-Bs1a (U2-TRTX-Bs1a) (BsTX5) (TXP5) (Venom protein 5)		Brachypelma smithi (Mexican red knee tarantula) (Eurypelma smithi)	34
I6S7I0	TXP5_SCOMU	reviewed	Putative neurotoxin 5 (Putative neurotoxin 6)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	64
P49270	TXP6_APOSC	reviewed	U1-cyrtautoxin-As1c (U1-CUTX-As1c) (Aptotoxin VI) (Aptotoxin-6) (Paralytic peptide VI) (PP VI)		Apomastus schlingeri (Trap-door spider) (Aptostichus schlingeri)	76
I6R1S4	TXP6_SCOMU	reviewed	Putative neurotoxin 6 (Putative neurotoxin 7)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	64
P49271	TXP7_APOSC	reviewed	U3-cyrtautoxin-As1a (U3-CUTX-As1a) (Aptotoxin VII) (Aptotoxin-7) (Paralytic peptide VII) (PP VII)		Apomastus schlingeri (Trap-door spider) (Aptostichus schlingeri)	32
I6S3A9	TXP8_SCOMU	reviewed	Putative neurotoxin 7 (Putative neurotoxin 8)		Scolopendra mutilans (Chinese red-headed centipede) (Scolopendra subspinipes mutilans)	114
P49272	TXP9_APOSC	reviewed	U1-cyrtautoxin-As1d (U1-CUTX-As1d) (Aptotoxin IX) (Aptotoxin-9) (Paralytic peptide IX) (PP IX)		Apomastus schlingeri (Trap-door spider) (Aptostichus schlingeri)	76
P86269	TXPR1_GEOA2	reviewed	Purotoxin-1 (PT1)		Geolycosa sp. (strain A267TDLS2-KZARNA) (Wolf spider) (Lycosa kazakhstanicus)	35
Q75WH1	TXPT6_MACGS	reviewed	Mu-hexatoxin-Mg1c (Mu-HXTX-Mg1c) (Peptide toxin 6) (Fragment)		Macrothele gigas (Japanese funnel web spider)	99
P0DL75	TXR7_MACRV	reviewed	RTX-VII (Alpha-hexatoxin-MrVII)		Macrothele raveni (Funnel-web spider)	78
B3EWU1	TXS1A_CUPSA	reviewed	Short cationic peptide-1a (SCP-1a) (Cupiennin 1-like peptide-1a) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	28
B3EWU2	TXS1B_CUPSA	reviewed	Short cationic peptide-1b (SCP-1b) (Cupiennin 1-like peptide-1b) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	28
B3EWU3	TXS1C_CUPSA	reviewed	Short cationic peptide-1c (SCP-1c) (Cupiennin 1-like peptide-1c) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	28
B3EWU4	TXS1D_CUPSA	reviewed	Short cationic peptide-1d (SCP-1d) (Cupiennin 1-like peptide-1d) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	15
B3EWU5	TXS1E_CUPSA	reviewed	Short cationic peptide-1e (SCP-1e) (Cupiennin 1-like peptide-1e) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	15
B3EWU6	TXS1F_CUPSA	reviewed	Short cationic peptide-1f (SCP-1f) (Cupiennin 1-like peptide-1f) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	9
B3EWU8	TXS1G_CUPSA	reviewed	Short cationic peptide-1g (SCP-1g) (Cupiennin 1-like peptide-1h) (Short cationic peptide-1h) (SCP-1h) (Truncated variant of Cupiennin 1 family)		Cupiennius salei (American wandering spider)	9
P0DJ08	TXS2B_LIOWA	reviewed	Phi-liotoxin-Lw1a (Phi-LITX-Lw1a) (U1-liotoxin-Lw1a) (U1-LITX-Lw1a)		Liocheles waigiensis (Australian rainforest scorpion)	75
B3EWV5	TXS3A_CUPSA	reviewed	Short cationic peptide-3a (SCP-3a) (Short cationic peptide-3e) (SCP-3e) (Truncated variant of Cupiennin 3 family)		Cupiennius salei (American wandering spider)	20
B3EWV8	TXS4A_CUPSA	reviewed	Short cationic peptide-4a (SCP-4a) (Short cationic peptide-4c) (SCP-4c) (Truncated variant of Cupiennin 4 family)		Cupiennius salei (American wandering spider)	20
B3EWV9	TXS4B_CUPSA	reviewed	Short cationic peptide-4b (SCP-4b) (Short cationic peptide-4d) (SCP-4d) (Truncated variant of Cupiennin 4 family)		Cupiennius salei (American wandering spider)	20
B3EWV0	TXS5A_CUPSA	reviewed	Short cationic peptide-5a (SCP-5a) (Short cationic peptide-7b) (SCP-7b) (Truncated variant of Cupiennin 5 family)		Cupiennius salei (American wandering spider)	17
B3EWX0	TXS6A_CUPSA	reviewed	Short cationic peptide-6a (SCP-6a) (Short cationic peptide-6f) (SCP-6f) (Truncated variant of Cupiennin 6 family)		Cupiennius salei (American wandering spider)	20
B3EWX2	TXS6B_CUPSA	reviewed	Short cationic peptide-6b (SCP-6b) (Short cationic peptide-6h) (SCP-6h) (Truncated variant of Cupiennin 6 family)		Cupiennius salei (American wandering spider)	19
B3EWX3	TXS6C_CUPSA	reviewed	Short cationic peptide-6c (SCP-6c) (Short cationic peptide-6i) (SCP-6i) (Truncated variant of Cupiennin 6 family)		Cupiennius salei (American wandering spider)	13
B3EWX4	TXS6D_CUPSA	reviewed	Short cationic peptide-6d (SCP-6d) (Short cationic peptide-6j) (SCP-6j) (Truncated variant of Cupiennin 6 family)		Cupiennius salei (American wandering spider)	12
P68426	TXT1_CYRSC	reviewed	U6-theraphotoxin-Hs1a (U6-TRTX-Hs1a) (SHT-I) (Toxin 1) (Toxin-I)		Cyriopagopus schmidti (Chinese bird spider) (Haplopelma schmidti)	81
P0CJ33	TXVE1_MACLB	reviewed	Snake venom vascular endothelial growth factor toxin IC1 (svVEGF) (Increasing capillary-1) (VEGF-F) (Fragment)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	13
Q90X24	TXVE_BOTIN	reviewed	Snake venom vascular endothelial growth factor toxin (svVEGF) (VEGF-F)		Bothrops insularis (Golden lancehead) (Lachesis insularis)	146
B6DCU2	TXZ03_LYCSI	reviewed	Toxin-like structure LSTX-D3		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	106
B6DCU3	TXZ04_LYCSI	reviewed	Toxin-like structure LSTX-D4		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	106
B6DCU4	TXZ05_LYCSI	reviewed	Toxin-like structure LSTX-D5		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	106
B6DCU5	TXZ06_LYCSI	reviewed	Toxin-like structure LSTX-D6		Lycosa singoriensis (Wolf spider) (Aranea singoriensis)	106
